CUSTOMER_ID,x_customer_id,y_customer_id,mean_amount,std_amount,mean_nb_tx_per_day,available_terminals,nb_terminals
0,54.88135039273247,71.51893663724195,62.262520726806166,31.131260363403083,2.1795327319875875,"[29, 87, 144, 241, 330, 858, 996, 1028, 1067, 1133, 1138, 1224, 1359, 1402, 1480, 1530, 1536, 1644, 1655, 1699, 1702, 1999, 2007, 2352, 2530, 2575, 2636, 2740, 2746, 2800, 2807, 3026, 3028, 3096, 3129, 3246, 3253, 3383, 3457, 3544, 3674, 4121, 4158, 4436, 4647, 4726, 5100, 5138, 5496, 6076, 6201, 6569, 6607, 6698, 6713, 6869, 6945, 6962]",58
1,42.36547993389047,64.58941130666561,46.57078506995579,23.285392534977895,3.567092003128319,"[5, 160, 242, 378, 431, 475, 571, 762, 876, 936, 943, 958, 1050, 1083, 1222, 1230, 1331, 1439, 1460, 1710, 2082, 2123, 2135, 2443, 2459, 2601, 2641, 2650, 2688, 2828, 2859, 3140, 3258, 3695, 3698, 3744, 3775, 3858, 4002, 4076, 4292, 4449, 4461, 4824, 5060, 5159, 5385, 5618, 5645, 5672, 5766, 5801, 5906, 6181, 6425, 6439, 6519, 6523, 6547, 6563]",60
2,96.36627605010293,38.34415188257777,80.21387861785314,40.10693930892657,2.115579679011618,"[316, 406, 447, 523, 968, 1200, 1318, 1365, 1607, 1864, 2002, 2143, 2149, 2179, 2196, 2320, 2374, 2382, 2586, 2836, 3102, 3142, 3199, 3396, 3492, 3598, 3675, 3876, 3928, 3949, 3958, 4385, 4395, 4404, 4656, 5377, 5485, 5519, 5758, 6027, 6267, 6355, 6656, 6659, 6974, 6986, 6989]",47
3,56.80445610939323,92.5596638292661,11.74842552879926,5.87421276439963,0.34851719880616283,"[65, 94, 113, 364, 401, 433, 485, 651, 672, 772, 874, 898, 925, 982, 1155, 1622, 1924, 2338, 2343, 2489, 2671, 2862, 2959, 3019, 3326, 3696, 3710, 3797, 3925, 3982, 4077, 4114, 4297, 4378, 4455, 4472, 4849, 4937, 4952, 4957, 5028, 5043, 5335, 5521, 5597, 5939, 5951, 6570, 6582, 6622]",50
4,2.021839744032572,83.2619845547938,78.9248913402358,39.4624456701179,3.4800485929872766,"[372, 614, 774, 1362, 1446, 1564, 1637, 1939, 2225, 2420, 2566, 2727, 3083, 3205, 3279, 3411, 3566, 3877, 3962, 3980, 4238, 4318, 4353, 4444, 4591, 4616, 5014, 5051, 5251, 5286, 5660, 5914, 6118, 6119, 6154, 6502, 6553, 6792, 6876, 6925]",40
5,97.8618342232764,79.91585642167236,48.84053941402853,24.420269707014263,3.122116705145822,"[79, 200, 266, 480, 568, 741, 1392, 1469, 1486, 1497, 1578, 1584, 1705, 1862, 1980, 2096, 2127, 2604, 2667, 2700, 2799, 2868, 3547, 3588, 3619, 3647, 3910, 3956, 3984, 4017, 4112, 4236, 4431, 5230, 5784, 6060, 6488]",37
6,11.827442586893323,63.99210213275238,18.618562303859406,9.309281151929703,3.7786756681983356,"[163, 172, 205, 429, 468, 607, 750, 786, 881, 973, 986, 1175, 1197, 1658, 1721, 1762, 2097, 2237, 2418, 2502, 2704, 2878, 3128, 3305, 3626, 3708, 3808, 3909, 3961, 4123, 4141, 4154, 4764, 4778, 5133, 5175, 5435, 5831, 6114, 6129, 6189, 6282, 6574, 6714, 6726, 6799]",46
7,52.184832175007166,41.46619399905236,30.132783149939563,15.066391574969781,3.0969347577368667,"[563, 612, 700, 705, 859, 1036, 1231, 1442, 1496, 1555, 1618, 1646, 1883, 1956, 1991, 2063, 2453, 2494, 2631, 2742, 2748, 2780, 2921, 3640, 3684, 3778, 3794, 3800, 3812, 3933, 4001, 4021, 4067, 4092, 4258, 4322, 4381, 4453, 4514, 4672, 4679, 4759, 4983, 5191, 5235, 5308, 5330, 5400, 5735, 5858, 6051, 6976]",52
8,45.615033221654855,56.84339488686485,6.785031041453738,3.392515520726869,2.4705419883035082,"[8, 46, 115, 117, 190, 431, 648, 891, 937, 958, 978, 1050, 1274, 1345, 1738, 1745, 2091, 2192, 2468, 2488, 2514, 2668, 2699, 2910, 3220, 3245, 3345, 3454, 3605, 3665, 3695, 3744, 3772, 3878, 4045, 4230, 4349, 4356, 4377, 4400, 4449, 4523, 4598, 4606, 4613, 4935, 4938, 5045, 5106, 5167, 5178, 5310, 5416, 5555, 5701, 6181, 6188, 6234, 6303, 6429, 6512, 6558, 6641, 6765, 6887, 6921, 6999]",67
9,61.20957227224214,61.69339968747569,94.6560674588893,47.32803372944465,2.7272811964139336,"[84, 128, 314, 415, 547, 797, 809, 824, 983, 1075, 1159, 1252, 1437, 1573, 1627, 2076, 2458, 2512, 2564, 2698, 2707, 2745, 2846, 2858, 2884, 2956, 3017, 3073, 3077, 3127, 3171, 3270, 3310, 3464, 3524, 3528, 3650, 3832, 4103, 4368, 4498, 4652, 4785, 5040, 5134, 5408, 5411, 5523, 5538, 5539, 5625, 5643, 5648, 5721, 5877, 5897, 6036, 6298, 6304, 6390, 6743, 6983]",62
10,35.9507900573786,43.703195379934144,71.27496361309016,35.63748180654508,0.24090188651707933,"[134, 446, 610, 1035, 1109, 1351, 1713, 2045, 2146, 2240, 2251, 2531, 2701, 2717, 2914, 2963, 3068, 3319, 3325, 3573, 3691, 3743, 4302, 4452, 4812, 4872, 5004, 5210, 5224, 5274, 5351, 5447, 5530, 5617, 5624, 5696, 5900, 5935, 6306, 6416, 6458, 6541, 6761, 6811, 6843, 6892]",46
11,66.67667154456677,67.06378696181594,24.986343302014884,12.493171651007442,0.5157051906194132,"[44, 282, 439, 573, 670, 779, 919, 1625, 1659, 1694, 1826, 1908, 1984, 2016, 2118, 2646, 2648, 2858, 2881, 2995, 3012, 3029, 3073, 3361, 3641, 4056, 4167, 4207, 4213, 4368, 4623, 4632, 4695, 4906, 5020, 5036, 5179, 5411, 5451, 5539, 5543, 5625, 5643, 5964, 6220, 6294, 6329, 6364, 6675, 6743, 6849]",51
